Provider Id,Latitude,Longitude
10001,31.215883255,-85.3630065918
10005,34.2213385552,-86.1594039202
10006,34.7950094193,-87.6850370318
10007,31.2916320562,-86.2554008514
10008,31.693353653,-86.2650909424
10011,33.5951440036,-86.6654073447
10012,34.4874343872,-85.7697677612
10016,33.2544035465,-86.814064756
10019,34.7481803894,-87.6996994019
10021,31.4513282776,-85.6320724487
10022,34.1627309471,-85.6434997916
10023,32.3271987587,-86.2766365707
10024,32.3665970564,-86.2857614458
10025,32.8237648308,-85.1697827876
10029,32.6461372375,-85.4131546021
10032,33.3115983009,-85.4850000143
10033,33.5061898828,-86.8018754572
10034,32.5273857117,-85.9097442627
10035,34.1770706177,-86.8272705078
10036,31.2953548431,-86.4927978516
10038,33.6676902771,-85.8267593384
10039,34.7210693359,-86.5830307007
10040,34.0093582124,-85.9677392989
10044,34.1268081665,-87.9904556274
10045,33.7077424675,-87.8237689286
10046,34.0042648315,-86.0033950806
10047,31.6443103552,-86.7427930981
10049,31.3181973249,-85.8552615345
10050,33.9323774725,-86.492748186
10051,32.8424035013,-87.8900194913
10052,32.8186679631,-85.7415948808
10054,34.5754623413,-87.0159606934
10055,31.238103,-85.457115
10056,33.5079527646,-86.7887420207
10058,32.9513125867,-87.1477013826
10059,34.482986033,-87.2859813273
10061,34.6616633981,-86.0467772931
10062,31.0481384397,-85.8907364309
10065,32.9312972724,-85.9687773138
10069,31.8887042999,-85.1561737061
10073,33.2766846567,-85.8235853165
10078,33.6561355591,-85.8235931396
10079,34.8035918176,-86.9783755392
10083,30.4257984161,-87.684425354
10085,34.5906105042,-86.9704742432
10086,33.9315834045,-87.8244171143
10087,30.7065887451,-88.0987854004
10089,33.84105362,-87.2365254164
10090,30.6820672005,-88.1992466748
10091,31.6947271675,-87.7770663053
10092,33.2052307129,-87.52759552
10095,32.6947646588,-87.5869251788
10097,32.5522649288,-86.1870165914
10099,31.1272468418,-87.0725230873
10100,30.5199450999,-87.8895112127
10101,33.4398246557,-86.0908801854
10102,31.9981051236,-87.2995050251
10103,33.498538,-86.846328
10104,33.5170326233,-86.7493972778
10108,32.4641723633,-86.4517822266
10109,33.2747018337,-88.0896301568
10110,32.146230787,-85.717009753
10112,32.5047950745,-87.8366851807
10113,30.6954406947,-88.0808278173
10114,33.3729625493,-86.9917617738
10118,32.4295082092,-87.0558776855
10120,31.4983458817,-87.3192185909
10125,34.207359314,-87.59740448
10126,31.7804210633,-85.9458839893
10128,31.5306135267,-87.8934493661
10129,30.9055557251,-87.7853851318
10130,33.6044464111,-86.3015975952
10131,34.722782135,-86.5524749756
10138,32.4915839732,-88.2958940417
10139,33.4634742737,-86.7766876221
10144,30.6858108938,-88.1318099052
10146,33.7848205566,-85.7632446289
10148,31.4310700446,-86.9413530082
10149,32.3764367402,-86.1719318479
10150,31.829416275,-86.6465759277
10157,34.747035,-87.676063
10158,34.511428,-87.718528
10164,33.165473938,-86.2537994385
10168,32.5091537833,-85.0057999045
10169,31.0169200897,-87.478302002
20001,55.556379,-133.094034
20006,61.5618856251,-149.260200262
20008,58.3294569701,-134.465763643
20012,64.8310775757,-147.739868164
20017,61.2108192444,-149.828659058
20018,64.73211,-147.323564
20024,60.4933547974,-151.077194214
20026,61.1827087402,-149.800094604
30001,33.5027732849,-112.170440674
30002,33.4643096924,-112.058792114
30006,32.2528076172,-110.878173828
30007,34.7353363037,-112.031534091
30010,32.227432251,-111.000167847
30011,32.2259869426,-110.857806802
30012,34.5602028072,-112.482109666
30013,32.6821479797,-114.635375977
30014,33.5678189993,-112.070190087
30022,33.4575614929,-112.026245117
30023,35.2083206177,-111.643989563
30024,33.4821205139,-112.080551147
30030,33.5251159668,-112.101921082
30033,34.2303848267,-111.320602417
30036,33.2959365845,-111.874038696
30037,33.4514647722,-112.043205723
30038,33.4885444641,-111.922912598
30043,31.5515594482,-110.271446228
30055,35.2200012207,-114.038002014
30061,33.603263855,-112.282546997
30062,34.2029876709,-110.017669678
30064,32.2408027649,-110.946166992
30065,33.3909683228,-111.876327515
30067,34.1357573122,-114.284312055
30068,32.8226242065,-109.734992981
30069,34.2929649353,-111.66469574
30071,,
30073,,
30078,33.4969520569,-112.049423218
